window,trial,session,subject,app,group,cohort,rater
CS3,4,LTMT,d,0,NORET,summer15,KT
CS4,1,LTMT,d,0,NORET,summer15,KT
CS4,2,LTMT,d,0,NORET,summer15,KT
CS4,3,LTMT,d,0,NORET,summer15,KT
CS4,4,LTMT,d,0,NORET,summer15,KT
preCS,1,RT,d,0,NORET,summer15,KT
preCS,2,RT,d,0,NORET,summer15,KT
preCS,3,RT,d,0,NORET,summer15,KT
preCS,4,RT,d,0,NORET,summer15,KT
CS1,1,RT,d,1,NORET,summer15,KT
CS1,2,RT,d,0,NORET,summer15,KT
CS1,3,RT,d,0,NORET,summer15,KT
CS1,4,RT,d,0,NORET,summer15,KT
CS2,1,RT,d,0,NORET,summer15,KT
CS2,2,RT,d,3,NORET,summer15,KT
CS2,3,RT,d,0,NORET,summer15,KT
CS2,4,RT,d,0,NORET,summer15,KT
CS3,1,RT,d,0,NORET,summer15,KT
CS3,2,RT,d,2,NORET,summer15,KT
CS3,3,RT,d,0,NORET,summer15,KT
CS3,4,RT,d,0,NORET,summer15,KT
CS4,1,RT,d,2,NORET,summer15,KT
CS4,2,RT,d,0,NORET,summer15,KT
CS4,3,RT,d,0,NORET,summer15,KT
CS4,4,RT,d,0,NORET,summer15,KT
preCS,1,LTMT,e,0,NORET,summer15,KT
preCS,2,LTMT,e,0,NORET,summer15,KT
preCS,3,LTMT,e,0,NORET,summer15,KT
preCS,4,LTMT,e,0,NORET,summer15,KT
CS1,1,LTMT,e,0,NORET,summer15,KT
CS1,2,LTMT,e,1,NORET,summer15,KT
CS1,3,LTMT,e,3,NORET,summer15,KT
CS1,4,LTMT,e,0,NORET,summer15,KT
CS2,1,LTMT,e,1,NORET,summer15,KT
CS2,2,LTMT,e,0,NORET,summer15,KT
CS2,3,LTMT,e,1,NORET,summer15,KT
CS2,4,LTMT,e,0,NORET,summer15,KT
CS3,1,LTMT,e,1,NORET,summer15,KT
CS3,2,LTMT,e,2,NORET,summer15,KT
CS3,3,LTMT,e,1,NORET,summer15,KT
CS3,4,LTMT,e,0,NORET,summer15,KT
CS4,1,LTMT,e,0,NORET,summer15,KT
CS4,2,LTMT,e,0,NORET,summer15,KT
CS4,3,LTMT,e,0,NORET,summer15,KT
CS4,4,LTMT,e,0,NORET,summer15,KT
preCS,1,RT,e,4,NORET,summer15,KT
preCS,2,RT,e,0,NORET,summer15,KT
preCS,3,RT,e,0,NORET,summer15,KT
preCS,4,RT,e,0,NORET,summer15,KT
CS1,1,RT,e,3,NORET,summer15,KT
CS1,2,RT,e,0,NORET,summer15,KT
CS1,3,RT,e,0,NORET,summer15,KT
CS1,4,RT,e,0,NORET,summer15,KT
CS2,1,RT,e,3,NORET,summer15,KT
CS2,2,RT,e,0,NORET,summer15,KT
CS2,3,RT,e,0,NORET,summer15,KT
CS2,4,RT,e,3,NORET,summer15,KT
CS3,1,RT,e,0,NORET,summer15,KT
CS3,2,RT,e,0,NORET,summer15,KT
CS3,3,RT,e,1,NORET,summer15,KT
CS3,4,RT,e,2,NORET,summer15,KT
CS4,1,RT,e,0,NORET,summer15,KT
CS4,2,RT,e,0,NORET,summer15,KT
CS4,3,RT,e,1,NORET,summer15,KT
CS4,4,RT,e,0,NORET,summer15,KT
preCS,1,LTMT,f,0,NORET,summer15,KT
preCS,2,LTMT,f,0,NORET,summer15,KT
preCS,3,LTMT,f,0,NORET,summer15,KT
preCS,4,LTMT,f,0,NORET,summer15,KT
CS1,1,LTMT,f,0,NORET,summer15,KT
CS1,2,LTMT,f,3,NORET,summer15,KT
CS1,3,LTMT,f,0,NORET,summer15,KT
CS1,4,LTMT,f,0,NORET,summer15,KT
CS2,1,LTMT,f,1,NORET,summer15,KT
CS2,2,LTMT,f,1,NORET,summer15,KT
CS2,3,LTMT,f,0,NORET,summer15,KT
CS2,4,LTMT,f,0,NORET,summer15,KT
CS3,1,LTMT,f,1,NORET,summer15,KT
CS3,2,LTMT,f,1,NORET,summer15,KT
CS3,3,LTMT,f,0,NORET,summer15,KT
CS3,4,LTMT,f,0,NORET,summer15,KT
CS4,1,LTMT,f,0,NORET,summer15,KT
CS4,2,LTMT,f,0,NORET,summer15,KT
CS4,3,LTMT,f,1,NORET,summer15,KT
CS4,4,LTMT,f,0,NORET,summer15,KT
preCS,1,RT,f,2,NORET,summer15,KT
preCS,2,RT,f,0,NORET,summer15,KT
preCS,3,RT,f,0,NORET,summer15,KT
preCS,4,RT,f,0,NORET,summer15,KT
CS1,1,RT,f,0,NORET,summer15,KT
CS1,2,RT,f,1,NORET,summer15,KT
CS1,3,RT,f,0,NORET,summer15,KT
CS1,4,RT,f,1,NORET,summer15,KT
CS2,1,RT,f,0,NORET,summer15,KT
CS2,2,RT,f,2,NORET,summer15,KT
CS2,3,RT,f,2,NORET,summer15,KT
CS2,4,RT,f,4,NORET,summer15,KT
CS3,1,RT,f,0,NORET,summer15,KT
CS3,2,RT,f,0,NORET,summer15,KT
CS3,3,RT,f,0,NORET,summer15,KT
CS3,4,RT,f,0,NORET,summer15,KT
CS4,1,RT,f,0,NORET,summer15,KT
CS4,2,RT,f,0,NORET,summer15,KT
CS4,3,RT,f,0,NORET,summer15,KT
CS4,4,RT,f,0,NORET,summer15,KT
preCS,1,LTMT,g,0,RET,summer15,KT
preCS,2,LTMT,g,0,RET,summer15,KT
