window,trial,session,subject,con,group,cohort,rater
CS3,4,LTMT,t,0,NORET,winter15,KT
CS4,1,LTMT,t,4,NORET,winter15,KT
CS4,2,LTMT,t,4,NORET,winter15,KT
CS4,3,LTMT,t,0,NORET,winter15,KT
CS4,4,LTMT,t,0,NORET,winter15,KT
CS3,1,RT,t,4,NORET,winter15,KT
CS3,2,RT,t,0,NORET,winter15,KT
CS3,3,RT,t,2,NORET,winter15,KT
CS3,4,RT,t,0,NORET,winter15,KT
CS4,1,RT,t,4,NORET,winter15,KT
CS4,2,RT,t,3,NORET,winter15,KT
CS4,3,RT,t,0,NORET,winter15,KT
CS4,4,RT,t,0,NORET,winter15,KT
CS3,1,LTMT,u,2,RET,winter15,KT
CS3,2,LTMT,u,0,RET,winter15,KT
CS3,3,LTMT,u,4,RET,winter15,KT
CS3,4,LTMT,u,0,RET,winter15,KT
CS4,1,LTMT,u,0,RET,winter15,KT
CS4,2,LTMT,u,0,RET,winter15,KT
CS4,3,LTMT,u,1,RET,winter15,KT
CS4,4,LTMT,u,0,RET,winter15,KT
CS3,1,RT,u,0,RET,winter15,KT
CS3,2,RT,u,3,RET,winter15,KT
CS3,3,RT,u,2,RET,winter15,KT
CS3,4,RT,u,0,RET,winter15,KT
CS4,1,RT,u,0,RET,winter15,KT
CS4,2,RT,u,0,RET,winter15,KT
CS4,3,RT,u,0,RET,winter15,KT
CS4,4,RT,u,0,RET,winter15,KT
CS3,1,LTMT,v,0,RET,winter15,KT
CS3,2,LTMT,v,0,RET,winter15,KT
CS3,3,LTMT,v,0,RET,winter15,KT
CS3,4,LTMT,v,0,RET,winter15,KT
CS4,1,LTMT,v,0,RET,winter15,KT
CS4,2,LTMT,v,1,RET,winter15,KT
CS4,3,LTMT,v,0,RET,winter15,KT
CS4,4,LTMT,v,0,RET,winter15,KT
CS3,1,RT,v,0,RET,winter15,KT
CS3,2,RT,v,4,RET,winter15,KT
CS3,3,RT,v,3,RET,winter15,KT
CS3,4,RT,v,1,RET,winter15,KT
CS4,1,RT,v,2,RET,winter15,KT
CS4,2,RT,v,4,RET,winter15,KT
CS4,3,RT,v,0,RET,winter15,KT
CS4,4,RT,v,0,RET,winter15,KT
CS3,1,LTMT,w,0,NORET,winter15,KT
CS3,2,LTMT,w,0,NORET,winter15,KT
CS3,3,LTMT,w,0,NORET,winter15,KT
CS3,4,LTMT,w,0,NORET,winter15,KT
CS4,1,LTMT,w,0,NORET,winter15,KT
CS4,2,LTMT,w,0,NORET,winter15,KT
CS4,3,LTMT,w,0,NORET,winter15,KT
CS4,4,LTMT,w,2,NORET,winter15,KT
CS3,1,RT,w,1,NORET,winter15,KT
CS3,2,RT,w,0,NORET,winter15,KT
CS3,3,RT,w,1,NORET,winter15,KT
CS3,4,RT,w,2,NORET,winter15,KT
CS4,1,RT,w,0,NORET,winter15,KT
CS4,2,RT,w,0,NORET,winter15,KT
CS4,3,RT,w,3,NORET,winter15,KT
CS4,4,RT,w,0,NORET,winter15,KT
CS3,1,LTMT,z,0,RET,winter15,KT
CS3,2,LTMT,z,0,RET,winter15,KT
CS3,3,LTMT,z,0,RET,winter15,KT
CS3,4,LTMT,z,0,RET,winter15,KT
CS4,1,LTMT,z,0,RET,winter15,KT
CS4,2,LTMT,z,0,RET,winter15,KT
CS4,3,LTMT,z,0,RET,winter15,KT
CS4,4,LTMT,z,0,RET,winter15,KT
CS3,1,RT,z,0,RET,winter15,KT
CS3,2,RT,z,0,RET,winter15,KT
CS3,3,RT,z,0,RET,winter15,KT
CS3,4,RT,z,1,RET,winter15,KT
CS4,1,RT,z,1,RET,winter15,KT
CS4,2,RT,z,0,RET,winter15,KT
CS4,3,RT,z,3,RET,winter15,KT
CS4,4,RT,z,3,RET,winter15,KT
CS3,1,LTMT,a,0,RET,summer15,KT
CS3,2,LTMT,a,0,RET,summer15,KT
CS3,3,LTMT,a,0,RET,summer15,KT
CS3,4,LTMT,a,0,RET,summer15,KT
CS4,1,LTMT,a,0,RET,summer15,KT
CS4,2,LTMT,a,1,RET,summer15,KT
CS4,3,LTMT,a,1,RET,summer15,KT
CS4,4,LTMT,a,0,RET,summer15,KT
CS3,1,RT,a,2,RET,summer15,KT
CS3,2,RT,a,1,RET,summer15,KT
CS3,3,RT,a,0,RET,summer15,KT
CS3,4,RT,a,0,RET,summer15,KT
CS4,1,RT,a,4,RET,summer15,KT
CS4,2,RT,a,0,RET,summer15,KT
CS4,3,RT,a,0,RET,summer15,KT
CS4,4,RT,a,2,RET,summer15,KT
CS3,1,LTMT,b,0,RET,summer15,KT
CS3,2,LTMT,b,0,RET,summer15,KT
CS3,3,LTMT,b,0,RET,summer15,KT
CS3,4,LTMT,b,0,RET,summer15,KT
CS4,1,LTMT,b,0,RET,summer15,KT
CS4,2,LTMT,b,0,RET,summer15,KT
CS4,3,LTMT,b,0,RET,summer15,KT
CS4,4,LTMT,b,0,RET,summer15,KT
CS3,1,RT,b,1,RET,summer15,KT
CS3,2,RT,b,0,RET,summer15,KT
CS3,3,RT,b,0,RET,summer15,KT
CS3,4,RT,b,3,RET,summer15,KT
CS4,1,RT,b,2,RET,summer15,KT
CS4,2,RT,b,0,RET,summer15,KT
CS4,3,RT,b,0,RET,summer15,KT
CS4,4,RT,b,0,RET,summer15,KT
CS3,1,LTMT,c,2,NORET,summer15,KT
CS3,2,LTMT,c,0,NORET,summer15,KT
CS3,3,LTMT,c,3,NORET,summer15,KT
CS3,4,LTMT,c,0,NORET,summer15,KT
CS4,1,LTMT,c,0,NORET,summer15,KT
CS4,2,LTMT,c,0,NORET,summer15,KT
CS4,3,LTMT,c,4,NORET,summer15,KT
CS4,4,LTMT,c,0,NORET,summer15,KT
