window,trial,session,subject,app,cohort,group,rater
preCS,1,T7,a,0,summer15,RET,SL
preCS,2,T7,a,0,summer15,RET,SL
preCS,3,T7,a,0,summer15,RET,SL
preCS,4,T7,a,0,summer15,RET,SL
preCS,5,T7,a,0,summer15,RET,SL
preCS,6,T7,a,0,summer15,RET,SL
preCS,7,T7,a,0,summer15,RET,SL
preCS,8,T7,a,0,summer15,RET,SL
CS1,1,T7,a,2,summer15,RET,SL
CS1,2,T7,a,1,summer15,RET,SL
CS1,3,T7,a,0,summer15,RET,SL
CS1,4,T7,a,2,summer15,RET,SL
CS1,5,T7,a,0,summer15,RET,SL
CS1,6,T7,a,1,summer15,RET,SL
CS1,7,T7,a,2,summer15,RET,SL
CS1,8,T7,a,2,summer15,RET,SL
CS2,1,T7,a,0,summer15,RET,SL
CS2,2,T7,a,3,summer15,RET,SL
CS2,3,T7,a,2,summer15,RET,SL
CS2,4,T7,a,1,summer15,RET,SL
CS2,5,T7,a,0,summer15,RET,SL
CS2,6,T7,a,4,summer15,RET,SL
CS2,7,T7,a,3,summer15,RET,SL
CS2,8,T7,a,1,summer15,RET,SL
preCS,1,T8,a,0,summer15,RET,SL
preCS,2,T8,a,0,summer15,RET,SL
preCS,3,T8,a,0,summer15,RET,SL
preCS,4,T8,a,0,summer15,RET,SL
preCS,5,T8,a,0,summer15,RET,SL
preCS,6,T8,a,0,summer15,RET,SL
preCS,7,T8,a,3,summer15,RET,SL
preCS,8,T8,a,0,summer15,RET,SL
CS1,1,T8,a,3,summer15,RET,SL
CS1,2,T8,a,1,summer15,RET,SL
CS1,3,T8,a,2,summer15,RET,SL
CS1,4,T8,a,1,summer15,RET,SL
CS1,5,T8,a,2,summer15,RET,SL
CS1,6,T8,a,0,summer15,RET,SL
CS1,7,T8,a,4,summer15,RET,SL
CS1,8,T8,a,0,summer15,RET,SL
CS2,1,T8,a,3,summer15,RET,SL
CS2,2,T8,a,2,summer15,RET,SL
CS2,3,T8,a,3,summer15,RET,SL
CS2,4,T8,a,4,summer15,RET,SL
CS2,5,T8,a,3,summer15,RET,SL
CS2,6,T8,a,1,summer15,RET,SL
CS2,7,T8,a,1,summer15,RET,SL
CS2,8,T8,a,4,summer15,RET,SL
preCS,1,T9,a,0,summer15,RET,SL
preCS,2,T9,a,0,summer15,RET,SL
preCS,3,T9,a,0,summer15,RET,SL
preCS,4,T9,a,0,summer15,RET,SL
preCS,5,T9,a,0,summer15,RET,SL
preCS,6,T9,a,0,summer15,RET,SL
preCS,7,T9,a,0,summer15,RET,SL
preCS,8,T9,a,0,summer15,RET,SL
CS1,1,T9,a,2,summer15,RET,SL
CS1,2,T9,a,1,summer15,RET,SL
CS1,3,T9,a,3,summer15,RET,SL
CS1,4,T9,a,0,summer15,RET,SL
CS1,5,T9,a,3,summer15,RET,SL
CS1,6,T9,a,0,summer15,RET,SL
CS1,7,T9,a,0,summer15,RET,SL
CS1,8,T9,a,0,summer15,RET,SL
CS2,1,T9,a,3,summer15,RET,SL
CS2,2,T9,a,3,summer15,RET,SL
CS2,3,T9,a,4,summer15,RET,SL
CS2,4,T9,a,4,summer15,RET,SL
CS2,5,T9,a,4,summer15,RET,SL
CS2,6,T9,a,2,summer15,RET,SL
CS2,7,T9,a,4,summer15,RET,SL
CS2,8,T9,a,4,summer15,RET,SL
preCS,1,T10,a,0,summer15,RET,SL
preCS,2,T10,a,0,summer15,RET,SL
preCS,3,T10,a,0,summer15,RET,SL
preCS,4,T10,a,0,summer15,RET,SL
preCS,5,T10,a,0,summer15,RET,SL
preCS,6,T10,a,2,summer15,RET,SL
preCS,7,T10,a,3,summer15,RET,SL
preCS,8,T10,a,0,summer15,RET,SL
CS1,1,T10,a,0,summer15,RET,SL
CS1,2,T10,a,0,summer15,RET,SL
CS1,3,T10,a,0,summer15,RET,SL
CS1,4,T10,a,2,summer15,RET,SL
CS1,5,T10,a,1,summer15,RET,SL
CS1,6,T10,a,2,summer15,RET,SL
CS1,7,T10,a,4,summer15,RET,SL
CS1,8,T10,a,0,summer15,RET,SL
CS2,1,T10,a,4,summer15,RET,SL
CS2,2,T10,a,4,summer15,RET,SL
