window,trial,session,subject,app,cohort,group,rater
preCS,7,6,a,0,summer15,RET,SL
preCS,8,6,a,0,summer15,RET,SL
CS1,1,6,a,1,summer15,RET,SL
CS1,2,6,a,0,summer15,RET,SL
CS1,3,6,a,0,summer15,RET,SL
CS1,4,6,a,2,summer15,RET,SL
CS1,5,6,a,0,summer15,RET,SL
CS1,6,6,a,0,summer15,RET,SL
CS1,7,6,a,0,summer15,RET,SL
CS1,8,6,a,0,summer15,RET,SL
CS2,1,6,a,1,summer15,RET,SL
CS2,2,6,a,0,summer15,RET,SL
CS2,3,6,a,0,summer15,RET,SL
CS2,4,6,a,2,summer15,RET,SL
CS2,5,6,a,0,summer15,RET,SL
CS2,6,6,a,0,summer15,RET,SL
CS2,7,6,a,0,summer15,RET,SL
CS2,8,6,a,0,summer15,RET,SL
preCS,1,7,a,0,summer15,RET,SL
preCS,2,7,a,0,summer15,RET,SL
preCS,3,7,a,0,summer15,RET,SL
preCS,4,7,a,0,summer15,RET,SL
preCS,5,7,a,0,summer15,RET,SL
preCS,6,7,a,0,summer15,RET,SL
preCS,7,7,a,0,summer15,RET,SL
preCS,8,7,a,0,summer15,RET,SL
CS1,1,7,a,2,summer15,RET,SL
CS1,2,7,a,1,summer15,RET,SL
CS1,3,7,a,0,summer15,RET,SL
CS1,4,7,a,2,summer15,RET,SL
CS1,5,7,a,0,summer15,RET,SL
CS1,6,7,a,1,summer15,RET,SL
CS1,7,7,a,2,summer15,RET,SL
CS1,8,7,a,2,summer15,RET,SL
CS2,1,7,a,0,summer15,RET,SL
CS2,2,7,a,3,summer15,RET,SL
CS2,3,7,a,2,summer15,RET,SL
CS2,4,7,a,1,summer15,RET,SL
CS2,5,7,a,0,summer15,RET,SL
CS2,6,7,a,4,summer15,RET,SL
CS2,7,7,a,3,summer15,RET,SL
CS2,8,7,a,1,summer15,RET,SL
preCS,1,8,a,0,summer15,RET,SL
preCS,2,8,a,0,summer15,RET,SL
preCS,3,8,a,0,summer15,RET,SL
preCS,4,8,a,0,summer15,RET,SL
preCS,5,8,a,0,summer15,RET,SL
preCS,6,8,a,0,summer15,RET,SL
preCS,7,8,a,3,summer15,RET,SL
